55104:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         44671       49374008  [B (java.base@17.0.18)
   2:          7571       30928592  [I (java.base@17.0.18)
   3:         48700        3506400  java.lang.reflect.Constructor (java.base@17.0.18)
   4:         70461        2254752  java.lang.ref.WeakReference (java.base@17.0.18)
   5:         46953        2253744  com.sun.jna.internal.Cleaner$CleanerRef
   6:         83079        1993896  java.lang.Long (java.base@17.0.18)
   7:         57891        1852512  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.18)
   8:           179        1145584  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.18)
   9:         38315        1134576  [Ljava.lang.Object; (java.base@17.0.18)
  10:         46951        1126824  com.sun.jna.Memory$MemoryDisposer
  11:         35591         854184  java.lang.String (java.base@17.0.18)
  12:          5749         721544  java.lang.Class (java.base@17.0.18)
  13:         14509         696432  java.util.HashMap (java.base@17.0.18)
  14:         13729         549160  com.sun.jna.Memory$SharedMemory
  15:         23770         509104  [Ljava.lang.Class; (java.base@17.0.18)
  16:          4605         455784  [C (java.base@17.0.18)
  17:         13937         445984  com.sun.jna.platform.win32.WinDef$DWORD
  18:         12392         396544  com.sun.jna.Structure$AutoAllocated
  19:         21212         339392  java.lang.Integer (java.base@17.0.18)
  20:          2878         331816  [Ljava.util.HashMap$Node; (java.base@17.0.18)
  21:         10577         289504  [Ljava.lang.reflect.Constructor; (java.base@17.0.18)
  22:          6517         260680  java.util.LinkedHashMap$Entry (java.base@17.0.18)
  23:          8055         257760  java.util.HashMap$Node (java.base@17.0.18)
  24:          3029         242320  com.sun.jna.platform.win32.WinNT$LARGE_INTEGER$UNION
  25:          3030         218160  com.sun.jna.platform.win32.WinNT$LARGE_INTEGER$LowHigh
  26:          2832         203904  com.sun.jna.platform.win32.WinBase$FILETIME
  27:          2832         203904  com.sun.jna.platform.win32.WinNT$LARGE_INTEGER
  28:          3146         201344  javax.imageio.metadata.IIOAttr (java.desktop@17.0.18)
  29:          2381         133336  java.util.LinkedHashMap (java.base@17.0.18)
  30:          5059         121416  java.util.ArrayList (java.base@17.0.18)
  31:          3677         117664  com.sun.jna.MethodResultContext
  32:          1646          84760  [Ljava.lang.String; (java.base@17.0.18)
  33:          4906          78496  java.lang.Object (java.base@17.0.18)
  34:           790          69520  java.lang.reflect.Method (java.base@17.0.18)
  35:          1684          67360  java.math.BigInteger (java.base@17.0.18)
  36:          1393          66864  java.lang.invoke.MemberName (java.base@17.0.18)
  37:          1014          56784  java.nio.HeapByteBuffer (java.base@17.0.18)
  38:          1633          52256  sun.security.util.ObjectIdentifier (java.base@17.0.18)
  39:           472          49088  mihon.reader.source.ByHandleFileInformation
  40:          1226          49040  java.lang.invoke.MethodType (java.base@17.0.18)
  41:            46          47840  [Ljava.util.concurrent.ForkJoinTask; (java.base@17.0.18)
  42:          1450          46400  java.nio.file.attribute.FileTime (java.base@17.0.18)
  43:           795          44520  javax.imageio.metadata.IIOMetadataNode (java.desktop@17.0.18)
  44:          1075          43000  sun.nio.fs.WindowsPath (java.base@17.0.18)
  45:           472          41536  com.sun.jna.platform.win32.WinBase$FILE_BASIC_INFO
  46:          1031          41240  sun.security.util.DerInputStream (java.base@17.0.18)
  47:           536          40736  [Ljava.lang.ref.SoftReference; (java.base@17.0.18)
  48:          1231          39392  com.sun.jna.Memory
  49:          1227          39264  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@17.0.18)
  50:           472          37760  com.sun.jna.platform.win32.WinBase$FILE_STANDARD_INFO
  51:          1555          37320  java.math.MutableBigInteger (java.base@17.0.18)
  52:           188          36096  org.apache.commons.compress.archivers.zip.ZipFile$Entry
  53:          2223          35568  java.util.LinkedHashSet (java.base@17.0.18)
  54:          1079          34528  java.lang.invoke.LambdaForm$Name (java.base@17.0.18)
  55:           472          33984  com.sun.jna.platform.win32.WinBase$FILE_ATTRIBUTE_TAG_INFO
  56:          1031          32992  sun.security.util.DerValue (java.base@17.0.18)
  57:           975          31200  com.sun.org.apache.xerces.internal.xni.QName (java.xml@17.0.18)
  58:           485          31040  java.util.concurrent.ConcurrentHashMap (java.base@17.0.18)
  59:           690          27600  java.util.TreeMap$Entry (java.base@17.0.18)
  60:           649          25960  java.lang.ref.SoftReference (java.base@17.0.18)
  61:          1069          25656  java.lang.invoke.ResolvedMethodName (java.base@17.0.18)
  62:          1031          24744  [Lsun.security.x509.AVA; (java.base@17.0.18)
  63:          1031          24744  sun.security.x509.AVA (java.base@17.0.18)
  64:          1031          24744  sun.security.x509.RDN (java.base@17.0.18)
  65:           248          24600  [S (java.base@17.0.18)
  66:           483          22800  [Z (java.base@17.0.18)
  67:           406          22736  sun.util.calendar.ZoneInfo (java.base@17.0.18)
  68:           353          22592  java.lang.Class$ReflectionData (java.base@17.0.18)
  69:           294          21168  java.lang.reflect.Field (java.base@17.0.18)
  70:          1231          19696  com.sun.jna.ptr.IntByReference
  71:           795          19496  [Ljava.math.BigInteger; (java.base@17.0.18)
  72:           338          18928  sun.security.ssl.CipherSuite (java.base@17.0.18)
  73:           472          18880  com.sun.jna.NativeString$StringMemory
  74:           472          18880  mihon.reader.source.WindowsBasicFileAttributes
  75:           348          16704  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@17.0.18)
  76:           256          16384  java.net.URL (java.base@17.0.18)
  77:           285          15960  java.nio.HeapCharBuffer (java.base@17.0.18)
  78:           245          15680  java.security.Provider$Service (java.base@17.0.18)
  79:           482          15424  mihon.reader.source.WindowsFileIdentity
  80:           633          15192  java.security.Provider$ServiceKey (java.base@17.0.18)
  81:           134          15008  java.util.GregorianCalendar (java.base@17.0.18)
  82:           617          14808  java.util.LinkedList$Node (java.base@17.0.18)
  83:           197          14184  com.sun.jna.platform.win32.WinNT$LARGE_INTEGER$ByReference
  84:           880          14080  java.lang.ProcessEnvironment$CheckedEntry (java.base@17.0.18)
  85:           292          14016  sun.security.x509.X500Name (java.base@17.0.18)
  86:            46          13984  java.util.concurrent.ForkJoinPool$WorkQueue (java.base@17.0.18)
  87:           275          13752  [Ljava.lang.invoke.LambdaForm$Name; (java.base@17.0.18)
  88:            93          13392  java.awt.image.DirectColorModel (java.desktop@17.0.18)
  89:           556          13344  java.util.Arrays$ArrayList (java.base@17.0.18)
  90:           128          13312  java.util.jar.JarFile$JarFileEntry (java.base@17.0.18)
  91:           414          13248  java.lang.invoke.DirectMethodHandle (java.base@17.0.18)
  92:           270          12960  java.lang.invoke.LambdaForm (java.base@17.0.18)
  93:           134          12864  sun.util.calendar.Gregorian$Date (java.base@17.0.18)
  94:            55          12448  [Ljava.lang.invoke.MethodHandle; (java.base@17.0.18)
  95:           153          12096  [Ljava.util.WeakHashMap$Entry; (java.base@17.0.18)
  96:           215          11992  [J (java.base@17.0.18)
  97:           493          11832  com.sun.jna.Pointer
  98:           482          11568  com.sun.jna.platform.win32.WinNT$HANDLE
  99:           144          11520  sun.security.x509.X509CertImpl (java.base@17.0.18)
 100:           472          11328  com.sun.jna.NativeString
 101:           472          11328  mihon.reader.source.WindowsPathMetadata
 102:           341          10912  jdk.internal.math.FDBigInteger (java.base@17.0.18)
 103:            29          10672  java.lang.Thread (java.base@17.0.18)
 104:           264          10560  sun.nio.cs.UTF_8$Decoder (java.base@17.0.18)
 105:           432          10368  sun.security.x509.AlgorithmId (java.base@17.0.18)
 106:           181          10136  java.io.FileCleanable (java.base@17.0.18)
 107:           125          10000  java.util.zip.ZipFile$Source (java.base@17.0.18)
 108:           304           9728  java.lang.invoke.MethodTypeForm (java.base@17.0.18)
 109:           292           9704  [Lsun.security.x509.RDN; (java.base@17.0.18)
 110:            92           9568  sun.awt.image.IntegerInterleavedRaster (java.desktop@17.0.18)
 111:           199           9552  sun.java2d.loops.Blit (java.desktop@17.0.18)
 112:           149           9536  sun.nio.fs.WindowsFileAttributes (java.base@17.0.18)
 113:           271           8672  [Lcom.sun.org.apache.xerces.internal.utils.XMLSecurityManager$NameMap; (java.xml@17.0.18)
 114:           268           8576  java.util.LinkedList (java.base@17.0.18)
 115:           214           8560  java.lang.invoke.DirectMethodHandle$Constructor (java.base@17.0.18)
 116:           132           8448  java.util.zip.Inflater (java.base@17.0.18)
 117:           262           8384  sun.security.util.KnownOIDs (java.base@17.0.18)
 118:           144           8064  sun.security.x509.X509CertInfo (java.base@17.0.18)
 119:           325           7800  java.time.LocalDateTime (java.base@17.0.18)
 120:           162           7776  sun.java2d.loops.ScaledBlit (java.desktop@17.0.18)
 121:           241           7712  java.lang.ref.ReferenceQueue (java.base@17.0.18)
 122:           320           7680  org.apache.commons.compress.archivers.zip.GeneralPurposeBit
 123:            18           7632  kotlinx.coroutines.scheduling.CoroutineScheduler$Worker
 124:           237           7584  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@17.0.18)
 125:           472           7552  com.sun.jna.WString
 126:           313           7512  java.lang.invoke.LambdaForm$NamedFunction (java.base@17.0.18)
 127:           134           7504  java.util.Calendar$Builder (java.base@17.0.18)
 128:           306           7344  java.time.LocalDate (java.base@17.0.18)
 129:           153           7344  java.util.WeakHashMap (java.base@17.0.18)
 130:           298           7152  java.time.Instant (java.base@17.0.18)
 131:           149           7152  java.util.TreeMap (java.base@17.0.18)
 132:           293           7032  java.lang.StringBuilder (java.base@17.0.18)
 133:           125           7000  java.util.jar.JarFile (java.base@17.0.18)
 134:           290           6960  java.util.Date (java.base@17.0.18)
 135:           144           6912  sun.security.util.MemoryCache$SoftCacheEntry (java.base@17.0.18)
 136:           164           6560  java.io.FileDescriptor (java.base@17.0.18)
 137:            15           6360  [Lcom.sun.org.apache.xerces.internal.util.SymbolTable$Entry; (java.xml@17.0.18)
 138:           263           6312  java.util.jar.Attributes$Name (java.base@17.0.18)
 139:           153           6120  java.util.HashMap$KeyIterator (java.base@17.0.18)
 140:           125           6000  jdk.internal.loader.URLClassPath$JarLoader (java.base@17.0.18)
 141:            81           5832  java.util.regex.Matcher (java.base@17.0.18)
 142:           182           5824  java.lang.invoke.BoundMethodHandle$Species_L (java.base@17.0.18)
 143:            60           5760  [Lcom.sun.org.apache.xerces.internal.xni.QName; (java.xml@17.0.18)
 144:           120           5760  com.sun.org.apache.xerces.internal.util.XMLAttributesImpl$Attribute (java.xml@17.0.18)
 145:            15           5400  com.sun.org.apache.xerces.internal.impl.XMLNSDocumentScannerImpl (java.xml@17.0.18)
 146:           225           5400  java.security.Provider$UString (java.base@17.0.18)
 147:           168           5376  mihon.reader.image.IntRect
 148:           168           5376  mihon.reader.image.TileKey
 149:           167           5344  java.util.ArrayList$Itr (java.base@17.0.18)
 150:           220           5280  java.util.ImmutableCollections$List12 (java.base@17.0.18)
 151:            14           5264  java.util.concurrent.ForkJoinWorkerThread (java.base@17.0.18)
 152:           164           5248  java.util.Collections$SynchronizedMap (java.base@17.0.18)
 153:           116           5224  [[I (java.base@17.0.18)
 154:           217           5208  java.lang.module.ModuleDescriptor$Exports (java.base@17.0.18)
 155:            59           5192  sun.awt.image.BufImgSurfaceData (java.desktop@17.0.18)
 156:           216           5184  com.sun.org.apache.xerces.internal.util.XMLStringBuffer (java.xml@17.0.18)
 157:           159           5088  java.lang.Package (java.base@17.0.18)
 158:           309           4944  java.lang.Character$UnicodeBlock (java.base@17.0.18)
 159:           101           4848  sun.security.rsa.RSAPublicKeyImpl (java.base@17.0.18)
 160:           118           4720  java.math.BigDecimal (java.base@17.0.18)
 161:           144           4608  sun.security.x509.BasicConstraintsExtension (java.base@17.0.18)
 162:            82           4592  [Lcom.sun.org.apache.xerces.internal.utils.XMLSecurityManager$Limit; (java.xml@17.0.18)
 163:            97           4576  [Ljava.lang.Integer; (java.base@17.0.18)
 164:           143           4576  sun.security.x509.KeyUsageExtension (java.base@17.0.18)
 165:           143           4576  sun.security.x509.SubjectKeyIdentifierExtension (java.base@17.0.18)
 166:           142           4544  java.io.File (java.base@17.0.18)
 167:            12           4512  com.sun.imageio.plugins.png.PNGMetadata (java.desktop@17.0.18)
 168:            93           4464  java.awt.image.SinglePixelPackedSampleModel (java.desktop@17.0.18)
 169:            92           4416  java.awt.image.DataBufferInt (java.desktop@17.0.18)
 170:            55           4400  java.net.URI (java.base@17.0.18)
 171:           135           4320  com.sun.org.apache.xerces.internal.util.AugmentationsImpl$SmallContainer (java.xml@17.0.18)
 172:            90           4320  sun.java2d.loops.MaskBlit (java.desktop@17.0.18)
 173:           179           4296  java.util.ArrayDeque (java.base@17.0.18)
 174:            68           4256  [Ljava.lang.reflect.Method; (java.base@17.0.18)
 175:           171           4104  com.sun.org.apache.xerces.internal.xni.XMLString (java.xml@17.0.18)
 176:           256           4096  java.lang.Byte (java.base@17.0.18)
